francais,fon,pluriel,vu_dans
Statut,,,resources/views/rgpd/index.blade.php:33
"Statut actuel :",,,resources/views/rgpd/index.blade.php:105
"Statut de consentement enregistré à la création de chaque membre.",,,resources/views/rgpd/index.blade.php:21
"Suivi de l'assiduité dans le temps",,,resources/views/about.blade.php:19
Support,,,resources/views/components/footer.blade.php:13
"Support technique",,,resources/views/documentation.blade.php:41
Supprimer,,,resources/views/membres/index.blade.php:194
"Supprimer ce membre",,,resources/views/membres/index.blade.php:312
"Supprimer le compte",,,resources/views/profile/partials/delete-user-form.blade.php:4
Système,,,resources/views/statistiques.blade.php:153
"Système de vérification de présence",,,resources/views/layouts/public.blade.php:8
"Système de vérification de présence. Tous droits réservés.",,,resources/views/components/footer.blade.php:31
Sécurité,,,resources/views/legal/security.blade.php:5
"Tableau de bord",,,resources/views/layouts/public.blade.php:30
Taux,,,resources/views/statistiques-avancees.blade.php:112
"Taux : :rate%",,,resources/views/statistiques-avancees.blade.php:70
"Taux de présence",,,resources/views/alerts/index.blade.php:38
"Tendances, classement des membres et comparaison de périodes",,,resources/views/documentation.blade.php:31
"Tendances, classement des membres et comparaison de périodes.",,,resources/views/statistiques-avancees.blade.php:4
"Tendances, classement et comparaison de périodes",,,resources/views/dashboard.blade.php:55
"Top 5 régularité",,,resources/views/membres/index.blade.php:234
"Total : :count membre|Total : :count membres",,oui,resources/views/membres/index.blade.php:41
"Total membres",,,resources/views/statistiques-avancees.blade.php:32
"Tous les membres ont pointé pour l'instant.",,,resources/views/alerts/index.blade.php:58
"Traduction indicative. Seule la version française fait foi.",,,resources/views/components/legal-translation-notice.blade.php:5
Téléphone,,,resources/views/membres/index.blade.php:76
"Téléphone :",,,resources/views/contact.blade.php:17
"Un carnet de présence numérique pour les groupes de l'église : un QR personnel par membre, un scan par le responsable, un suivi qui se fait de lui-même.",,,resources/views/welcome.blade.php:9
"Un nouveau lien de vérification a été envoyé à l'adresse email fournie lors de l'inscription.",,,resources/views/auth/verify-email.blade.php:8
"Un nouveau lien de vérification a été envoyé à votre adresse email.",,,resources/views/profile/partials/update-profile-information-form.blade.php:43
"Un responsable ne voit que les membres des groupes qu’il encadre.",,,resources/views/legal/security.blade.php:19
"Une carte QR par membre, à scanner pour pointer sa présence",,,resources/views/features.blade.php:20
"Une carte par membre, à imprimer",,,resources/views/demo.blade.php:44
"Une carte personnelle et imprimable qui identifie le membre, sans qu'il ait besoin d'un téléphone.",,,resources/views/welcome.blade.php:37
"Une erreur est survenue lors de la connexion. Veuillez réessayer.",,,app/Http/Controllers/Auth/AuthenticatedSessionController.php:43
"Une erreur technique est survenue. Veuillez réessayer plus tard.",,,app/Http/Requests/Auth/LoginRequest.php:60
"Une fois votre compte supprimé, toutes ses données seront définitivement effacées. Avant de continuer, téléchargez les informations que vous souhaitez conserver.",,,resources/views/profile/partials/delete-user-form.blade.php:8
"Une fois votre compte supprimé, toutes ses données seront définitivement effacées. Saisissez votre mot de passe pour confirmer la suppression définitive.",,,resources/views/profile/partials/delete-user-form.blade.php:27
"Une session est déjà active pour ce groupe. Fermez-la avant d'en ouvrir une nouvelle.",,,app/Http/Controllers/AttendanceSessionController.php:63
"Une session est ouverte pour la réunion ; le responsable scanne chaque QR au fur et à mesure.",,,resources/views/welcome.blade.php:44
"Utilisation autorisée",,,resources/views/legal/terms.blade.php:18
"Utilisation des données",,,resources/views/legal/privacy.blade.php:21
"Utilisez un mot de passe long et aléatoire pour protéger votre compte.",,,resources/views/profile/partials/update-password-form.blade.php:8
"Variables disponibles : {name}, {date}, {event}",,,resources/views/alerts/index.blade.php:134
"Vos données sont utilisées exclusivement pour :",,,resources/views/legal/privacy.blade.php:22
"Vos droits",,,resources/views/legal/privacy.blade.php:40
"Votre adresse email n'est pas vérifiée.",,,resources/views/profile/partials/update-profile-information-form.blade.php:34
"Votre consentement personnel",,,resources/views/rgpd/index.blade.php:99
"Votre nom complet",,,resources/views/auth/register.blade.php:17
"Voulez-vous vraiment supprimer votre compte ?",,,resources/views/profile/partials/delete-user-form.blade.php:23
"Vous encadrez :count groupe.|Vous encadrez :count groupes.",,oui,resources/views/dashboard.blade.php:6
"Vous ne dirigez aucun groupe pour le moment.",,,resources/views/dashboardV.blade.php:64
"Vous ne dirigez aucun groupe.",,,resources/views/membres/index.blade.php:63
"Vous ne dirigez aucun membre pour le moment.",,,resources/views/rgpd/index.blade.php:25
"Vous êtes hors ligne",,,resources/views/offline.blade.php:17
"Vue d'ensemble des présences",,,resources/views/demo.blade.php:23
"Vérification de présence rapide",,,resources/views/about.blade.php:16
"Vérification rapide",,,resources/views/features.blade.php:14
